,Tweet Text,Tweet Datetime,Tweet Id,Twitter Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
79,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:32:11+00:00,1508814279650254849,Truedemocracy1,,,9,0,en,Twitter for Android,,,False
80,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:31:33+00:00,1508814121143353346,hindusantani1,,,9,0,en,Twitter for Android,,,False
81,"RT @the_hindu: During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from 2020 to 2…",2022-03-29 14:30:25+00:00,1508813835699957772,Arun_Kaku05,,,9,0,en,Twitter for iPhone,,,False
82,"During the #COVID19 pandemic, incidents of substandard and falsified medical products increased by almost 47% from… https://t.co/14zHyrSP3j",2022-03-29 14:30:13+00:00,1508813783858298899,the_hindu,,,9,40,en,SocialFlow,,,False
83,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:28:53+00:00,1508813450029510666,tompgleason,,,40,0,en,Twitter for iPhone,,,False
84,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:25:20+00:00,1508812558307897362,JasVod1,,,40,0,en,Twitter for iPhone,,,False
85,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:18:31+00:00,1508810841889644556,icedsnowberry,,,40,0,en,Twitter for Android,,,False
86,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:15:40+00:00,1508810124135182349,AlexKadolph,,,40,0,en,Twitter for iPhone,,,False
87,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:15:14+00:00,1508810016303857671,charlesmire,,,40,0,en,Twitter for Android,,,False
88,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:13:30+00:00,1508809579987144711,WilliamJamesLe1,,,40,0,en,Twitter Web App,,,False
89,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:13:13+00:00,1508809508403007491,MattersCalgary,,,40,0,en,Twitter for iPhone,,,False
90,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:07:14+00:00,1508808002480099337,yvonne4tn,,,40,0,en,Twitter for iPad,,,False
91,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:04:51+00:00,1508807402623311890,BugJudy,,,40,0,en,Twitter Web App,,,False
92,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:04:33+00:00,1508807328010809358,SocMedDr,,,40,0,en,Twitter for iPhone,,,False
93,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:03:22+00:00,1508807028944388107,ImogenRCoePhD,,,40,0,en,Twitter for iPhone,,,False
94,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:03:08+00:00,1508806969745940492,srmarcon,,,40,0,en,Twitter Web App,,,False
95,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:02:58+00:00,1508806927375114240,KimTomp11872840,,,40,0,en,Twitter Web App,,,False
96,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:01:44+00:00,1508806618418499585,A1responder,,,40,0,en,Twitter for Android,,,False
97,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:01:32+00:00,1508806567788957702,allucanbe,,,40,0,en,Twitter Web App,,,False
98,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 14:01:03+00:00,1508806443717251081,DarcyEckert,,,40,0,en,Twitter for Android,,,False
99,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 13:59:05+00:00,1508805952455286795,TBWarrington,,,40,0,en,Twitter Web App,,,False
